;superpower_Accuracy;superpower_Agility;superpower_Durability;superpower_Intelligence;superpower_Longevity;superpower_Reflexes;superpower_Stamina;superpower_Super_Strength;superpower_Telepathy;superpower_Underwater_breathing;superpower_Weapons_Master;superpower_Lantern_Power_Ring;superpower_Healing_Factor;superpower_Immortality;superpower_Regeneration;superpower_Energy_Absorption;superpower_Energy_Beams;superpower_Energy_Blasts;superpower_Power_Suit;superpower_Danger_Sense;superpower_Energy_Manipulation;superpower_Flight;superpower_Force_Fields;superpower_Hypnokinesis;superpower_Invisibility;superpower_Phasing;superpower_Super_Speed;superpower_Teleportation;superpower_Power_Augmentation;superpower_Gliding;superpower_Toxin_and_Disease_Resistance;superpower_Vision_-_Telescopic;superpower_Animal_Attributes;superpower_Animal_Oriented_Powers;superpower_Toxikinesis;superpower_Empathy;superpower_Size_Changing;superpower_Hydrokinesis;superpower_Endurance;superpower_Enhanced_Hearing;superpower_Enhanced_Senses;superpower_Sonar;superpower_Vision_-_Night;superpower_Wallcrawling;superpower_Energy_Armor;superpower_Psionic_Powers;superpower_Omnilingualism;superpower_Weapon-based_Powers;superpower_Invulnerability;superpower_Self-Sustenance;superpower_Duplication;superpower_Radiation_Immunity;superpower_Density_Control;superpower_Illumination;superpower_Molecular_Combustion;superpower_Molecular_Manipulation;superpower_Astral_Travel;superpower_Illusions;superpower_Intangibility;superpower_Magic;superpower_Precognition;superpower_Audiokinesis;superpower_Sonic_Scream;superpower_Human_physical_perfection;superpower_Stealth;superpower_Dexterity;superpower_Jump;superpower_Natural_Weapons;superpower_Natural_Armor;superpower_Shapeshifting;superpower_Sub-Mariner;superpower_Omnitrix;superpower_Cross-Dimensional_Awareness;superpower_Reality_Warping;superpower_Telekinesis;superpower_Time_Travel;superpower_Probability_Manipulation;superpower_Vision_-_Infrared;superpower_Electrokinesis;superpower_Enhanced_Memory;superpower_Enhanced_Smell;superpower_Cold_Resistance;superpower_Heat_Resistance;superpower_Symbiote_Costume;superpower_Technopath/Cyberpath;superpower_Vision_-_X-Ray;superpower_Astral_Projection;superpower_Mind_Blast;superpower_Mind_Control;superpower_Mind_Control_Resistance;superpower_Telepathy_Resistance;superpower_Vision_-_Thermal;superpower_Hyperkinesis;superpower_Spatial_Awareness;superpower_Clairvoyance;superpower_Magic_Resistance;superpower_Super_Breath;superpower_Terrakinesis;superpower_Cross-Dimensional_Travel;superpower_Power_Sense;superpower_Darkforce_Manipulation;superpower_Gravitokinesis;superpower_Aerokinesis;superpower_Geokinesis;superpower_Pyrokinesis;superpower_Energy_Resistance;superpower_Photokinesis;superpower_Echokinesis;superpower_Enhanced_Touch;superpower_Radar_Sense;superpower_Levitation;superpower_Possession;superpower_Vision_-_Microscopic;superpower_Banish;superpower_Timeframe_Control;superpower_Elasticity;superpower_Camouflage;superpower_Substance_Secretion;superpower_Fire_Resistance;superpower_Heat_Generation;superpower_Energy_Constructs;superpower_Projection;superpower_Grim_Reaping;superpower_Power_Absorption;superpower_Vision_-_Heat;superpower_Radiation_Absorption;superpower_Thermokinesis;superpower_Cryokinesis;superpower_Elemental_Transmogrification;superpower_Magnetokinesis;superpower_Chlorokinesis;superpower_Resurrection;superpower_Portal_Creation;superpower_Thirstokinesis;superpower_Power_Nullifier;superpower_Animation;superpower_Photographic_Reflexes;superpower_Atmokinesis;superpower_Nova_Force;superpower_Chronokinesis;superpower_Radiation_Control;superpower_Web_Creation;superpower_Power_Cosmic;superpower_Changing_Armor;superpower_Biokinesis;superpower_Seismic_Power;superpower_Qwardian_Power_Ring;superpower_Summoning;superpower_Adaptation;superpower_Electrical_Transport;superpower_Insanity;superpower_Anti-Gravity;superpower_Matter_Absorption;superpower_Psychokinesis;superpower_Omnipotence;superpower_Death_Touch;superpower_Intuitive_aptitude;superpower_Melting
superpower_Natural_Weapons;0;15;14;1;2;16;15;22;2;1;0;0;15;2;3;2;0;2;0;7;0;6;0;0;0;0;14;0;0;0;5;0;6;8;1;2;1;0;3;0;10;0;3;9;0;1;0;3;2;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;2;8;62;4;9;1;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
superpower_Natural_Armor;0;2;9;1;1;3;8;9;3;0;0;0;2;1;1;4;1;3;1;0;0;3;1;0;0;1;6;1;1;0;0;0;1;1;0;1;2;0;4;1;1;0;0;1;0;1;0;1;2;2;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;24;4;1;0;0;0;2;0;0;0;0;0;0;3;3;0;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
superpower_Shapeshifting;3;13;15;2;8;8;16;32;11;1;2;1;15;9;4;3;2;6;0;4;3;17;5;0;3;2;22;8;3;0;4;2;3;4;0;3;14;1;5;1;8;0;1;7;0;2;1;5;9;3;3;1;5;0;0;7;0;2;3;5;1;0;1;0;1;0;4;9;4;84;1;1;2;1;6;1;0;0;1;1;3;1;1;4;3;4;1;0;0;1;3;3;0;0;0;0;2;1;3;0;1;0;0;0;2;0;0;0;0;1;2;1;2;0;0;5;5;1;1;1;2;0;0;2;3;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
superpower_Sub-Mariner;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Omnitrix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Cross-Dimensional_Awareness;1;1;2;3;3;1;3;5;3;0;1;0;2;6;1;1;0;3;0;0;4;5;4;1;2;2;3;7;1;0;2;0;0;0;0;1;4;0;1;1;0;0;0;0;0;2;1;1;5;1;0;0;0;0;0;3;0;3;3;4;0;0;0;0;0;0;0;0;0;2;0;0;20;2;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
superpower_Reality_Warping;0;0;0;1;0;0;0;3;2;0;0;0;0;1;0;1;0;1;0;0;2;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Telekinesis;0;4;8;4;4;3;6;17;19;0;1;0;8;6;1;8;1;13;0;0;7;19;14;1;2;1;12;8;1;1;0;1;0;0;0;1;6;0;3;3;1;0;0;0;1;11;1;1;9;4;1;0;1;0;0;7;1;7;3;3;2;1;1;1;0;1;1;0;2;6;0;0;2;2;66;1;0;0;0;1;0;0;0;0;1;3;8;7;8;1;5;1;0;0;1;1;2;1;1;0;0;0;0;1;3;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;0;1;3;0;0;2;0;1;1;3;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1
superpower_Time_Travel;1;1;5;2;3;5;2;7;3;1;0;1;4;1;0;3;0;8;1;0;2;8;5;0;1;3;8;5;1;0;0;1;0;0;0;0;2;1;2;2;3;0;1;0;0;1;0;1;4;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;32;0;0;1;2;1;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;2;0;0;3;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;2;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
superpower_Probability_Manipulation;1;4;0;0;0;4;2;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Vision_-_Infrared;0;2;4;2;1;2;4;5;0;0;0;0;3;0;0;1;0;2;3;0;0;4;2;1;0;0;4;0;0;0;0;5;0;1;0;0;0;0;2;2;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;12;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Electrokinesis;0;1;2;2;2;0;1;4;0;0;1;0;0;1;0;3;1;4;1;0;2;6;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;28;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
superpower_Enhanced_Memory;2;3;4;3;1;6;5;5;1;1;1;1;2;0;1;1;0;3;0;0;0;3;1;1;1;2;5;2;1;0;0;4;0;0;0;0;1;1;1;3;2;0;2;0;0;0;1;1;2;2;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;2;0;1;0;18;2;0;0;0;0;1;0;0;0;0;0;2;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;2;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
superpower_Enhanced_Smell;5;6;2;3;4;3;7;5;3;1;5;1;4;1;0;1;0;2;1;1;2;3;2;1;1;1;5;3;1;0;0;5;0;0;0;1;1;1;2;6;6;0;3;1;0;0;0;1;3;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;2;0;0;3;0;0;0;0;0;1;0;1;0;2;16;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;1;2;2;1;0;3;0;0;0;2;0;0;1;2;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Cold_Resistance;0;3;9;1;3;3;6;11;0;0;0;0;3;3;0;0;0;2;3;0;2;3;1;0;0;0;3;0;1;0;1;2;0;1;0;0;1;1;4;1;2;0;1;0;0;0;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;28;8;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Heat_Resistance;0;3;9;0;0;2;7;11;0;0;0;0;2;2;0;1;1;6;3;0;4;6;1;0;0;0;4;1;1;0;0;1;0;0;0;0;1;0;3;1;1;0;1;0;0;1;0;2;3;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;8;34;1;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Symbiote_Costume;0;3;5;0;0;4;4;6;0;0;0;0;5;1;0;0;0;1;1;4;1;2;1;0;0;0;5;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;4;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Technopath/Cyberpath;0;2;4;1;0;1;4;9;2;0;0;0;2;2;1;3;2;2;1;0;2;6;3;0;0;1;4;0;1;0;0;1;1;0;0;0;2;0;1;2;2;0;1;0;0;0;1;1;2;1;0;0;1;0;0;2;0;1;1;0;0;0;0;0;0;2;0;0;2;3;0;0;0;0;1;1;0;0;1;0;0;1;1;1;22;1;1;1;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Vision_-_X-Ray;1;2;10;7;5;1;9;16;3;1;0;1;9;1;0;9;0;6;2;0;2;16;4;4;3;2;14;1;1;0;1;12;0;1;0;0;4;1;5;12;9;0;2;0;0;0;0;1;15;2;1;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;8;0;0;4;0;0;0;0;3;2;0;2;0;1;2;0;0;0;1;32;0;0;0;0;0;2;0;0;0;1;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;1;0;1;0;2;0;0;1;13;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Astral_Projection;0;1;3;1;2;0;2;4;11;0;0;0;3;4;1;3;0;3;0;0;3;6;6;1;1;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;1;0;0;4;1;10;2;2;0;0;0;0;0;1;0;1;1;1;0;0;2;1;8;1;0;0;0;0;0;0;0;0;1;0;24;6;7;2;5;1;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;0;0;0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Mind_Blast;0;1;2;2;0;0;1;3;9;0;0;0;2;2;1;2;1;2;0;0;2;4;5;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;1;0;6;20;7;2;5;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Mind_Control;0;2;4;3;0;0;4;6;9;0;1;0;2;3;0;2;2;3;0;0;3;5;6;0;0;1;2;2;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;1;0;9;0;1;1;1;0;0;1;0;0;5;1;7;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;8;0;0;0;1;0;0;0;0;0;1;0;7;7;26;2;5;1;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;3;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Mind_Control_Resistance;1;2;3;1;2;1;3;3;3;0;1;0;3;2;1;0;0;0;0;0;0;1;1;0;0;0;2;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;2;2;2;12;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Telepathy_Resistance;3;7;4;4;1;3;3;7;9;0;3;0;4;6;1;2;1;1;0;1;4;4;5;1;1;2;1;4;1;0;2;0;0;0;0;1;4;0;1;1;0;0;0;0;0;6;1;1;3;0;0;0;3;0;0;4;0;6;1;0;0;0;0;1;1;1;0;1;1;3;0;0;2;1;5;0;1;0;0;0;0;1;2;0;2;0;5;5;5;5;38;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;2;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Vision_-_Thermal;3;3;6;1;1;3;2;9;3;3;0;1;3;0;1;3;2;4;2;0;0;6;3;0;4;4;7;1;1;0;0;5;1;1;0;0;2;2;2;2;4;0;3;0;0;0;0;3;2;2;1;2;0;0;0;2;0;2;1;0;0;0;0;0;0;1;1;1;0;3;0;0;0;0;1;1;0;0;0;2;1;1;0;0;1;2;1;1;1;1;1;18;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;1;0;0;1;2;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Hyperkinesis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Spatial_Awareness;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Clairvoyance;0;0;1;4;1;1;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;3;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;4;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Magic_Resistance;0;0;3;3;1;1;4;4;0;0;0;0;4;0;0;1;0;1;1;0;0;3;0;2;0;0;3;1;0;0;0;1;0;1;0;0;0;0;1;2;2;0;0;0;0;1;1;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Super_Breath;1;2;9;8;5;1;11;13;2;1;0;1;9;0;0;7;0;3;1;0;0;11;2;4;1;1;12;1;1;0;1;10;1;2;1;0;1;1;3;10;6;0;1;1;0;0;0;1;11;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;2;0;0;0;0;2;1;0;2;0;1;2;0;0;0;0;10;0;0;1;0;0;1;0;0;0;1;26;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;1;1;0;0;1;0;0;1;10;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Terrakinesis;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Cross-Dimensional_Travel;0;0;2;2;3;2;3;6;3;1;0;0;3;3;2;0;0;2;0;0;1;4;2;1;1;0;7;6;1;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;3;1;2;1;5;0;0;0;0;0;0;0;0;0;3;0;0;3;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
superpower_Power_Sense;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Darkforce_Manipulation;0;0;1;0;0;0;1;2;2;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;1;2;2;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Gravitokinesis;0;1;5;0;1;0;2;5;1;0;0;0;1;1;0;2;2;4;0;0;2;6;3;0;0;2;4;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Aerokinesis;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
